expense_id,traveler_id,travel_type,origin,destination,travel_date,travel_class,distance_km,nights,amount,currency
T-001,EMP-42,AIR,LHR,JFK,2024-02-10,BUSINESS,,0,2100,USD
T-002,EMP-17,HOTEL,,NYC,2024-02-10,,,3,450,USD
T-003,EMP-42,AIR,JFK,LHR,2024-02-15,BUSINESS,,0,2200,USD
T-004,EMP-08,AIR,CDG,NRT,2024-03-01,ECONOMY,,0,1800,EUR
T-005,EMP-08,HOTEL,,TYO,2024-03-01,,,5,1200,EUR
T-006,EMP-23,AIR,SFO,LAX,2024-01-20,ECONOMY,,0,180,USD
T-007,EMP-23,CAR,LAX,SNA,2024-01-20,,,65,0,85,USD
T-008,EMP-31,RAIL,LDN,PAR,2024-02-28,,,450,0,120,GBP
T-009,EMP-42,AIR,LHR,DXB,2024-03-15,FIRST,,0,4500,GBP
T-010,EMP-17,TAXI,,,2024-02-11,,,25,0,45,USD
T-011,EMP-55,AIR,SIN,HKG,2024-03-20,ECONOMY,,0,650,SGD
T-012,EMP-55,HOTEL,,HKG,2024-03-20,,,2,380,SGD
